% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.074654336000e+00, 4.042501e-01, 2.564729e-02
-1.071974400000e+00, 4.066927e-01, 1.675623e+00
-1.069294464000e+00, 4.445530e-01, 3.330484e+00
-1.066614528000e+00, 4.384465e-01, 3.329262e+00
-1.063934592000e+00, 4.543234e-01, 3.330484e+00
-1.061254656000e+00, 4.433317e-01, 3.332926e+00
-1.058574720000e+00, 4.347826e-01, 3.329262e+00
-1.055894784000e+00, 4.433317e-01, 3.330484e+00
-1.053214848000e+00, 4.445530e-01, 3.330484e+00
-1.050534912000e+00, 4.482169e-01, 3.336590e+00
-1.047854976000e+00, 4.421104e-01, 3.330484e+00
-1.045175040000e+00, 4.433317e-01, 3.328041e+00
-1.042495104000e+00, 4.494382e-01, 3.330484e+00
-1.039815168000e+00, 4.457743e-01, 3.331705e+00
-1.037135232000e+00, 4.469956e-01, 3.331705e+00
-1.034455296000e+00, 4.628725e-01, 3.330484e+00
-1.031775360000e+00, 4.421104e-01, 3.331705e+00
-1.029095424000e+00, 4.531021e-01, 3.331705e+00
-1.026415488000e+00, 4.286761e-01, 3.332926e+00
-1.023735552000e+00, 4.384465e-01, 3.331705e+00
-1.021055616000e+00, 4.494382e-01, 3.330484e+00
-1.018375680000e+00, 4.628725e-01, 3.329262e+00
-1.015695744000e+00, 4.433317e-01, 3.329262e+00
-1.013015808000e+00, 4.433317e-01, 3.330484e+00
-1.010335872000e+00, 4.494382e-01, 3.330484e+00
-1.007655936000e+00, 4.469956e-01, 3.326820e+00
-1.004976000000e+00, 4.482169e-01, 3.329262e+00
-1.002296064000e+00, 4.531021e-01, 3.330484e+00
-9.996161280000e-01, 4.396678e-01, 3.332926e+00
-9.969361920000e-01, 4.457743e-01, 3.332926e+00
-9.942562560000e-01, 4.262335e-01, 3.329262e+00
-9.915763200000e-01, 4.421104e-01, 3.326820e+00
-9.888963840000e-01, 4.433317e-01, 3.329262e+00
-9.862164480000e-01, 4.482169e-01, 3.328041e+00
-9.835365120000e-01, 4.628725e-01, 3.321935e+00
-9.808565760000e-01, 4.494382e-01, 3.330484e+00
-9.781766400000e-01, 4.396678e-01, 3.330484e+00
-9.754967040000e-01, 4.543234e-01, 3.331705e+00
-9.728167680000e-01, 4.506595e-01, 3.330484e+00
-9.701368320000e-01, 4.091353e-01, 1.678066e+00
-9.674568960000e-01, 4.018075e-01, 1.954079e-02
-9.647769600000e-01, 4.091353e-01, 2.198339e-02
