Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.074654336000e+00, 7.816317e-01, 1.954079e-02
-1.071974400000e+00, 7.828530e-01, 2.198339e-02
-1.069294464000e+00, 7.852956e-01, 1.954079e-02
-1.066614528000e+00, 8.060577e-01, 1.954079e-02
-1.063934592000e+00, 8.683440e-01, 1.676844e+00
-1.061254656000e+00, 9.110894e-01, 3.330484e+00
-1.058574720000e+00, 9.086468e-01, 3.328041e+00
-1.055894784000e+00, 9.037616e-01, 3.331705e+00
-1.053214848000e+00, 8.878848e-01, 3.326820e+00
-1.050534912000e+00, 8.793357e-01, 3.331705e+00
-1.047854976000e+00, 8.939912e-01, 3.325599e+00
-1.045175040000e+00, 8.707866e-01, 3.329262e+00
-1.042495104000e+00, 8.878848e-01, 3.326820e+00
-1.039815168000e+00, 8.842209e-01, 3.326820e+00
-1.037135232000e+00, 9.098681e-01, 3.330484e+00
-1.034455296000e+00, 9.062042e-01, 3.335369e+00
-1.031775360000e+00, 9.098681e-01, 3.332926e+00
-1.029095424000e+00, 8.805570e-01, 3.328041e+00
-1.026415488000e+00, 8.952125e-01, 3.324377e+00
-1.023735552000e+00, 8.854422e-01, 3.334148e+00
-1.021055616000e+00, 9.025403e-01, 3.328041e+00
-1.018375680000e+00, 8.878848e-01, 3.331705e+00
-1.015695744000e+00, 9.086468e-01, 3.328041e+00
-1.013015808000e+00, 9.025403e-01, 3.329262e+00
-1.010335872000e+00, 8.927699e-01, 3.328041e+00
-1.007655936000e+00, 9.098681e-01, 3.329262e+00
-1.004976000000e+00, 9.184172e-01, 3.329262e+00
-1.002296064000e+00, 8.817783e-01, 3.328041e+00
-9.996161280000e-01, 8.964338e-01, 3.330484e+00
-9.969361920000e-01, 8.793357e-01, 3.323156e+00
-9.942562560000e-01, 8.817783e-01, 3.329262e+00
-9.915763200000e-01, 9.098681e-01, 3.330484e+00
-9.888963840000e-01, 8.939912e-01, 3.326820e+00
-9.862164480000e-01, 8.988764e-01, 3.337812e+00
-9.835365120000e-01, 8.939912e-01, 3.330484e+00
-9.808565760000e-01, 9.147533e-01, 3.330484e+00
-9.781766400000e-01, 8.891061e-01, 3.330484e+00
-9.754967040000e-01, 8.793357e-01, 3.331705e+00
-9.728167680000e-01, 8.707866e-01, 3.329262e+00
-9.701368320000e-01, 8.817783e-01, 3.329262e+00
-9.674568960000e-01, 9.184172e-01, 3.325599e+00
-9.647769600000e-01, 8.512458e-01, 1.675623e+00
-9.620970240000e-01, 7.999512e-01, 1.954079e-02
-9.594170880000e-01, 7.840743e-01, 2.076209e-02
-9.567371520000e-01, 8.036151e-01, 2.076209e-02
-9.540572160000e-01, 8.023938e-01, 2.076209e-02
-9.513772800000e-01, 7.706400e-01, 2.198339e-02
-9.486973440000e-01, 8.036151e-01, 2.076209e-02
-9.460174080000e-01, 7.852956e-01, 2.198339e-02
-9.433374720000e-01, 8.060577e-01, 1.954079e-02
-9.406575360000e-01, 7.914021e-01, 1.954079e-02
-9.379776000000e-01, 7.999512e-01, 1.954079e-02
-9.352976640000e-01, 8.011725e-01, 2.076209e-02
-9.326177280000e-01, 8.097216e-01, 2.198339e-02
-9.299377920000e-01, 7.962873e-01, 2.076209e-02
-9.272578560000e-01, 8.072790e-01, 2.076209e-02
-9.245779200000e-01, 8.023938e-01, 1.954079e-02
-9.218979840000e-01, 7.962873e-01, 2.198339e-02
-9.192180480000e-01, 7.975086e-01, 2.076209e-02
-9.165381120000e-01, 8.060577e-01, 2.076209e-02
-9.138581760000e-01, 8.036151e-01, 2.076209e-02
-9.111782400000e-01, 7.975086e-01, 2.198339e-02
-9.084983040000e-01, 7.828530e-01, 2.076209e-02
-9.058183680000e-01, 7.840743e-01, 1.709819e-02
-9.031384320000e-01, 7.889595e-01, 2.198339e-02
-9.004584960000e-01, 7.962873e-01, 2.198339e-02
-8.977785600000e-01, 8.097216e-01, 2.198339e-02
-8.950986240000e-01, 7.999512e-01, 1.954079e-02
-8.924186880000e-01, 8.194920e-01, 2.198339e-02
-8.897387520000e-01, 8.011725e-01, 1.954079e-02
-8.870588160000e-01, 7.877382e-01, 1.831949e-02
-8.843788800000e-01, 8.146068e-01, 2.198339e-02
-8.816989440000e-01, 8.121642e-01, 1.954079e-02
-8.790190080000e-01, 7.950660e-01, 2.076209e-02
-8.763390720000e-01, 7.681974e-01, 2.198339e-02
-8.736591360000e-01, 7.999512e-01, 2.442599e-02
