% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-1.01E-01,2.44E-02,3.33E+00
-1.01E-01,2.56E-02,3.32E+00
-1.01E-01,2.56E-02,3.33E+00
-1.00E-01,2.56E-02,3.33E+00
-1.00E-01,2.44E-02,3.33E+00
-9.97E-02,2.44E-02,3.33E+00
-9.94E-02,2.44E-02,3.32E+00
-9.91E-02,2.69E-02,3.33E+00
-9.89E-02,2.81E-02,3.33E+00
-9.86E-02,2.69E-02,3.33E+00
-9.83E-02,2.56E-02,3.33E+00
-9.80E-02,2.56E-02,3.33E+00
-9.78E-02,2.81E-02,3.33E+00
-9.75E-02,2.56E-02,3.33E+00
-9.72E-02,2.44E-02,3.33E+00
-9.69E-02,2.44E-02,3.33E+00
-9.67E-02,2.32E-02,3.33E+00
-9.64E-02,2.44E-02,3.33E+00
-9.61E-02,2.44E-02,3.33E+00
-9.58E-02,2.44E-02,3.33E+00
-9.56E-02,2.44E-02,3.33E+00
-9.53E-02,2.32E-02,3.33E+00
-9.50E-02,2.56E-02,3.33E+00
-9.47E-02,2.44E-02,3.33E+00
-9.45E-02,2.56E-02,3.33E+00
-9.42E-02,2.56E-02,3.33E+00
-9.39E-02,2.56E-02,3.33E+00
-9.36E-02,2.56E-02,3.33E+00
-9.34E-02,2.69E-02,3.33E+00
-9.31E-02,2.69E-02,3.33E+00
-9.28E-02,2.56E-02,3.32E+00
-9.25E-02,2.81E-02,3.33E+00
-9.23E-02,2.69E-02,3.33E+00
-9.20E-02,2.69E-02,3.33E+00
-9.17E-02,2.69E-02,3.33E+00
-9.14E-02,2.56E-02,3.33E+00
-9.12E-02,2.81E-02,3.33E+00
-9.09E-02,2.56E-02,3.33E+00
-9.06E-02,2.69E-02,3.33E+00
-9.03E-02,2.56E-02,3.33E+00
-9.01E-02,2.44E-02,3.33E+00
-8.98E-02,2.44E-02,3.33E+00
-8.95E-02,2.56E-02,3.33E+00
-8.92E-02,2.56E-02,3.33E+00
-8.90E-02,2.56E-02,3.33E+00
-8.87E-02,2.44E-02,3.33E+00
-8.84E-02,2.56E-02,3.33E+00
-8.81E-02,2.56E-02,3.33E+00
-8.79E-02,2.69E-02,3.33E+00
-8.76E-02,2.44E-02,3.33E+00
-8.73E-02,2.56E-02,3.33E+00
-8.70E-02,2.56E-02,3.34E+00
-8.68E-02,2.44E-02,3.33E+00
-8.65E-02,2.44E-02,3.33E+00
-8.62E-02,2.56E-02,3.33E+00
-8.59E-02,2.56E-02,3.33E+00
-8.57E-02,2.44E-02,3.33E+00
-8.54E-02,2.69E-02,3.33E+00
-8.51E-02,2.56E-02,3.33E+00
-8.48E-02,2.56E-02,3.33E+00
-8.46E-02,2.56E-02,3.33E+00
-8.43E-02,2.44E-02,3.33E+00
-8.40E-02,2.44E-02,3.33E+00
-8.37E-02,2.56E-02,3.33E+00
-8.34E-02,2.44E-02,3.33E+00
-8.32E-02,2.69E-02,3.33E+00
-8.29E-02,2.81E-02,3.33E+00
-8.26E-02,2.56E-02,3.33E+00
-8.23E-02,2.44E-02,3.33E+00
-8.21E-02,2.56E-02,3.33E+00
-8.18E-02,2.44E-02,3.34E+00
